2015-01-14 11:00:53,361 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:53,864 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:54,367 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:54,870 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:55,373 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:55,875 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:56,378 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:56,881 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:57,387 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:57,890 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:58,395 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:58,899 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:59,401 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:59,904 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:00,406 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:00,909 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:01,411 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:01,914 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:02,417 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:02,919 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:03,422 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:03,925 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:04,427 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:04,929 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:05,432 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:05,935 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:06,439 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:06,941 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:07,444 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:07,947 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:08,451 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:08,953 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:09,455 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:09,958 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:10,461 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:10,963 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:11,466 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:11,968 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:12,471 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:12,973 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:13,475 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:13,978 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:14,480 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:14,985 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:15,487 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:15,990 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:16,494 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:16,996 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:17,500 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:18,002 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:18,505 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:19,008 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:19,511 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:20,013 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:20,516 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:21,019 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:21,522 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:22,026 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:22,530 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:23,033 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:23,535 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:24,039 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:24,541 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:25,044 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:25,548 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:26,050 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:26,553 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:27,055 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:27,558 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:28,061 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:28,564 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:29,066 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:29,569 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:30,074 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:30,577 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:31,079 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:31,582 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:32,084 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:01:56,275 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:11:00,663 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception Connection timed out: connect
2015-01-14 11:11:09,966 | ERROR | MessagingDaemon | runDaemon() | -1 | The database server: 197.232.26.3 servicing on port: 3306 appears to be down. Reason: internal function for pingDatabaseServer() returned a PING_FAILED status.
2015-01-14 11:11:35,449 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception Connection timed out: connect
2015-01-14 11:12:20,553 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception Connection timed out: connect
